Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
GR-coarse-anm-00128.dat -3.5686 3.4055 -4.5675 5.4727 -2.8907 4.4158 177.0 201.0 1.316 7.0 1.217 28 1.0186 10.59804 7.06077 6.52244 6.52244 6.56555
GR-coarse-anm-00092.dat -4.5485 3.8970 -4.3687 3.6563 -3.5929 5.1649 189.0 207.0 1.301 7.1 1.122 28 0.9517 9.13303 8.90427 6.89972 6.89972 5.31537
GR-coarse-anm-00416.dat -6.2145 5.1671 -5.0370 4.8771 -2.4969 2.4166 187.0 232.0 1.469 7.1 1.539 20 1.0049 13.08912 9.02037 4.97096 4.97096 6.56420
GR-coarse-anm-00431.dat -4.5862 4.7440 -4.8407 4.5855 -4.0828 4.7539 190.0 221.0 1.384 7.1 1.506 26 1.0366 12.57446 6.93748 6.16669 6.16669 6.52244
GR-coarse-anm-00057.dat -4.3941 4.1811 -4.4647 4.4167 -4.0492 4.6836 193.0 218.0 1.350 7.2 1.485 26 1.0023 12.04250 7.74472 5.19418 5.19418 6.89972
GR-coarse-anm-00002.dat -4.6754 6.8628 -4.9736 4.4521 -2.9607 2.8956 197.0 234.0 1.429 7.2 1.396 28 0.9931 11.95213 9.47996 5.63411 5.63411 4.97096
GR-coarse-anm-00255.dat -6.8519 6.0486 -2.5513 2.7769 -4.4160 5.6949 197.0 223.0 1.362 7.2 1.724 24 1.0012 14.36589 7.74337 5.32335 5.32335 6.16669
GR-coarse-anm-00043.dat -4.8759 5.0808 -4.7460 5.0390 -3.5291 3.7223 192.0 215.0 1.335 7.2 1.335 28 0.9542 11.81626 7.26703 6.61390 6.61390 6.89972
GR-coarse-anm-00352.dat -5.5675 4.9690 -3.3681 3.2622 -4.1310 4.5923 193.0 212.0 1.314 7.2 1.258 28 1.0038 10.67624 9.49072 5.24727 5.24727 4.97096
GR-coarse-anm-00312.dat -4.5736 4.4111 -3.4995 3.7383 -4.8601 3.8482 195.0 209.0 1.283 7.2 1.314 28 1.0398 11.60011 7.28770 5.78067 5.78067 6.16669
GR-coarse-anm-00256.dat -5.6682 5.2592 -3.2643 2.8609 -3.9307 4.0790 205.0 222.0 1.322 7.3 1.377 24 0.9881 11.83336 8.23691 5.61616 5.61616 6.61390
GR-coarse-anm-00319.dat -5.3016 4.9153 -4.4786 5.4542 -3.0886 2.7761 201.0 230.0 1.386 7.3 1.359 20 0.9788 10.54990 9.88922 5.72599 5.72599 5.24727
GR-coarse-anm-00406.dat -5.4901 5.2994 -3.0412 3.2201 -3.5190 3.0416 201.0 213.0 1.286 7.3 1.247 28 1.0480 11.05076 7.36978 5.90254 5.90254 5.78067
GR-coarse-anm-00424.dat -4.6103 4.7990 -5.6050 4.2434 -3.9760 4.0890 209.0 220.0 1.290 7.4 1.295 24 0.9944 11.34603 8.69145 5.16385 5.16385 5.61616
GR-coarse-anm-00125.dat -4.7400 4.6983 -4.6678 4.9739 -3.1430 4.1361 209.0 232.0 1.364 7.4 1.332 26 1.0129 10.87751 9.26213 5.80871 5.80871 5.72599
GR-coarse-anm-00350.dat -3.2273 3.2041 -3.6436 3.6112 -4.7322 5.4317 209.0 203.0 1.194 7.4 1.169 26 0.9651 10.29888 7.43271 7.20266 7.20266 5.90254
