Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
AZ0.5-anm-00249.dat -5.4263 4.7588 -3.1055 4.0280 -3.3671 3.7873 216.0 225.0 1.293 7.4 1.212 20 0.9676 11.1988 8.4974 6.7674 6.7674 4.9485
AZ0.5-anm-00065.dat -6.2694 5.0428 -4.6075 7.0120 -3.4324 4.3588 216.0 248.0 1.424 7.4 1.605 24 0.9684 15.2230 8.2017 6.0557 6.0557 6.1546
AZ0.5-anm-00195.dat -5.4233 4.9494 -5.2375 4.6821 -3.2825 4.2186 217.0 224.0 1.282 7.5 1.313 28 1.0265 11.9394 8.2690 6.2425 6.2425 2.1253
AZ0.5-anm-00032.dat -4.7417 5.2596 -3.7232 4.6664 -4.5567 5.3744 224.0 225.0 1.261 7.5 1.216 30 0.9619 11.0542 8.3075 7.0561 7.0561 6.7674
AZ0.5-anm-00223.dat -5.0549 4.8980 -6.9951 8.5694 -3.3438 3.2831 223.0 284.0 1.596 7.5 2.133 22 0.9702 15.8230 8.7083 4.5396 4.5396 6.0557
AZ0.5-anm-00219.dat -7.2865 5.0108 -7.2536 5.8886 -2.5777 3.5151 226.0 296.0 1.652 7.6 1.977 28 1.0321 15.1161 11.8854 3.8602 3.8602 6.2425
AZ0.5-anm-00257.dat -3.8782 5.9216 -4.3248 5.1427 -4.3986 3.4301 229.0 232.0 1.281 7.6 1.304 28 1.0011 11.5864 9.0324 5.3391 5.3391 7.0561
AZ0.5-anm-00150.dat -5.9470 5.8921 -5.6997 5.4676 -3.7388 3.6701 231.0 255.0 1.400 7.6 1.713 20 1.0104 15.1060 10.2796 3.7944 3.7944 4.5396
AZ0.5-anm-00021.dat -6.8430 5.7947 -5.6705 6.4820 -2.8241 4.1647 241.0 275.0 1.468 7.7 1.802 24 1.0448 15.5434 9.9764 5.2292 5.2292 3.8602
AZ0.5-anm-00256.dat -5.3679 3.6789 -8.0575 6.2025 -3.9392 3.7912 235.0 268.0 1.456 7.7 1.884 26 0.9957 16.3351 9.2012 4.4068 3.7068 2.0879
AZ0.5-anm-00019.dat -6.5074 4.5926 -5.4419 5.6288 -2.8492 4.3429 237.0 248.0 1.341 7.7 1.338 28 1.0338 12.9322 8.5382 6.0713 6.0713 2.1701
AZ0.5-anm-00112.dat -5.0678 4.3279 -6.2466 5.9614 -4.3903 3.7947 243.0 262.0 1.391 7.7 1.542 26 0.9902 12.7431 11.8717 4.4635 4.4635 3.7944
AZ0.5-anm-00209.dat -5.1444 7.7325 -3.5845 5.5040 -5.5147 4.4578 238.0 259.0 1.396 7.7 1.468 24 1.0107 13.8764 10.7373 7.2347 7.2347 3.8602
AZ0.5-anm-00234.dat -4.8126 3.7931 -7.3613 6.0417 -3.2429 3.7499 238.0 250.0 1.345 7.7 1.452 30 0.9753 13.6799 7.9702 6.5677 6.5677 5.3391
AZ0.5-anm-00188.dat -4.9144 4.9456 -3.8890 4.6938 -4.2974 3.0674 236.0 229.0 1.240 7.7 1.217 30 1.0028 12.2156 8.7950 6.7335 6.7335 3.7944
AZ0.5-anm-00235.dat -4.7655 6.4277 -4.8135 5.4252 -5.0805 5.2579 253.0 263.0 1.361 7.8 1.673 26 1.0000 15.7961 8.1747 5.4328 5.4328 4.4635
AZ0.5-anm-00171.dat -4.2667 6.1525 -5.5146 7.6997 -3.4458 2.6211 245.0 267.0 1.410 7.8 1.478 16 0.9678 14.0162 10.7835 5.7909 5.7909 7.2347
AZ0.5-anm-00098.dat -5.5643 5.2675 -6.1795 5.0994 -6.0175 4.9122 252.0 286.0 1.483 7.8 1.805 24 0.9579 14.8749 10.8447 4.9068 4.9068 6.5677
AZ0.5-anm-00240.dat -4.6181 4.4278 -5.2838 5.7616 -2.8556 2.9082 244.0 227.0 1.201 7.8 1.236 30 0.9732 11.6932 9.3013 5.6659 5.6659 6.7335
AZ0.5-anm-00142.dat -5.1523 4.3453 -6.5377 4.9710 -3.5228 3.8503 255.0 236.0 1.212 7.9 1.400 28 0.9550 13.4555 8.5150 5.0534 5.0534 5.7909
AZ0.5-anm-00102.dat -5.0934 4.8853 -5.5389 7.4247 -3.8589 3.2008 256.0 292.0 1.499 7.9 1.625 26 0.9915 14.3978 11.9809 4.8789 4.8789 4.9068
AZ0.5-anm-00174.dat -5.2651 5.3566 -4.4086 4.9082 -4.3463 5.0183 263.0 245.0 1.235 7.9 1.228 30 0.9915 12.4591 9.5892 7.5307 7.5307 5.6659
AZ0.5-anm-00038.dat -6.5887 5.6101 -4.8129 6.2567 -2.8846 3.9950 271.0 276.0 1.364 8.0 1.691 22 0.9941 15.0341 9.0745 4.8439 4.8439 4.8789
AZ0.5-anm-00201.dat -5.1839 4.4949 -5.1180 5.5982 -5.1457 4.7597 271.0 271.0 1.340 8.0 1.465 26 1.0140 13.0318 10.3422 4.5155 4.5155 7.5307
AZ0.5-anm-00075.dat -4.5001 4.1033 -4.6489 5.4252 -4.7647 4.6958 280.0 238.0 1.149 8.1 1.200 30 1.0408 11.6097 9.2696 6.0885 6.0885 4.5155
AZ0.5-anm-00132.dat -6.1217 5.3796 -5.5077 5.4366 -5.2120 4.2861 276.0 277.0 1.351 8.1 1.456 30 0.9819 13.1625 12.1238 5.1549 5.1549 4.8439
AZ0.5-anm-00011.dat -7.0122 6.9744 -3.9845 4.1531 -5.0947 5.6359 278.0 272.0 1.320 8.1 1.646 12 1.0066 16.0148 8.3227 6.0064 6.0064 4.5155
AZ0.5-anm-00236.dat -4.4188 4.8178 -6.1178 5.5100 -4.5919 3.9613 288.0 267.0 1.265 8.2 1.269 26 1.0008 12.7914 8.8805 7.8198 7.8198 6.0064
AZ0.5-anm-00090.dat -4.2850 5.7160 -4.2571 4.2990 -6.1118 4.9164 285.0 267.0 1.275 8.2 1.340 28 0.9551 12.1383 11.4478 5.2347 5.2347 6.0885
AZ0.5-anm-00133.dat -5.4007 6.0733 -4.7414 4.6533 -2.7907 3.6448 293.0 264.0 1.239 8.2 1.234 30 0.9936 11.8078 10.4008 6.2376 6.2376 5.1549
AZ0.5-anm-00078.dat -6.4137 5.1990 -6.0788 5.8760 -2.2314 3.1642 289.0 281.0 1.330 8.2 1.421 30 1.0105 13.1313 9.5682 5.3766 5.3766 6.0064
AZ0.5-anm-00025.dat -4.4274 4.4729 -5.8016 5.0478 -4.5052 4.0776 303.0 259.0 1.188 8.3 1.188 30 0.9928 12.2036 9.2836 7.0743 7.0743 5.3766
AZ0.5-anm-00185.dat -5.7484 4.8374 -5.3662 7.0957 -4.0323 3.3677 298.0 274.0 1.270 8.3 1.264 30 1.0187 12.6834 11.2644 6.2567 6.2567 7.8198
AZ0.5-anm-00148.dat -4.5865 4.6176 -8.3252 7.4434 -3.6709 3.9417 305.0 308.0 1.407 8.3 1.825 26 1.0456 16.7972 9.1376 4.5732 4.5732 5.2347
AZ0.5-anm-00175.dat -4.3918 4.6261 -6.3868 5.1649 -4.6520 4.9468 302.0 275.0 1.264 8.3 1.367 30 0.9804 13.7567 7.4830 7.2498 7.2498 6.2376
AZ0.5-anm-00165.dat -4.3632 5.7783 -5.0347 4.8077 -4.2553 4.7122 298.0 281.0 1.302 8.3 1.259 26 0.9882 12.6110 11.9824 6.6971 6.6971 5.3766
AZ0.5-anm-00153.dat -5.2677 6.0038 -5.4490 4.8379 -4.4922 5.6953 308.0 298.0 1.351 8.4 1.335 30 1.0136 12.8516 12.2972 6.0813 6.0813 4.5732
AZ0.5-anm-00091.dat -4.5208 3.9297 -5.3854 6.0012 -5.9132 5.4498 311.0 276.0 1.244 8.4 1.266 30 0.9820 12.6905 10.3575 6.1535 6.1535 7.2498
AZ0.5-anm-00216.dat -4.8794 5.5578 -6.3845 5.6543 -4.7472 4.2250 310.0 284.0 1.282 8.4 1.272 30 0.9931 12.9212 10.7508 6.8858 6.8858 6.6971
AZ0.5-anm-00009.dat -7.3898 8.8621 -4.3276 3.9512 -3.6466 3.1987 325.0 308.0 1.348 8.5 1.680 26 1.0208 16.6270 8.2392 6.1271 6.1271 6.1535
