Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
IN-coarse-anm-00220.dat -8.7166 7.4758 -6.0518 6.3889 -6.2827 5.5937 688.0 509.0 1.351 11.0 1.522 26 0.9791 18.32508 13.85249 5.75252 5.75252 10.52407
IN-coarse-anm-00149.dat -6.7752 7.4777 -6.7334 8.0798 -5.7097 5.5445 690.0 510.0 1.350 11.0 1.325 26 0.9748 17.25625 13.07858 9.89325 9.89325 10.52407
IN-coarse-anm-00185.dat -6.2906 7.2550 -6.0521 6.1895 -4.2334 4.8379 697.0 452.0 1.189 11.0 1.077 30 0.9862 13.77160 13.02474 9.75317 9.75317 10.52407
IN-coarse-anm-00028.dat -9.0389 8.9494 -5.7802 7.4748 -5.2212 3.1416 698.0 480.0 1.261 11.0 1.496 18 0.9756 20.21414 11.10876 8.86513 8.86513 10.52407
IN-coarse-anm-00163.dat -7.0455 6.7932 -5.2864 5.5752 -6.2965 7.1945 718.0 488.0 1.259 11.1 1.212 30 1.0330 16.11739 13.02872 8.92488 8.92488 9.89325
IN-coarse-anm-00229.dat -10.9875 9.2189 -4.9382 4.7604 -3.0690 5.1250 718.0 502.0 1.294 11.1 1.607 30 1.0334 20.62229 9.74695 8.81759 8.81759 9.75317
IN-coarse-anm-00114.dat -5.9832 5.5541 -7.9104 7.1839 -5.8843 5.6085 718.0 473.0 1.220 11.1 1.167 30 1.0058 16.05818 13.74118 8.97931 8.97931 8.86513
IN-coarse-anm-00171.dat -7.4616 7.4521 -8.1556 6.5061 -7.1004 7.5201 742.0 529.0 1.335 11.2 1.380 18 1.0301 18.49783 14.05967 7.95800 7.95800 8.81759
IN-coarse-anm-00033.dat -7.1282 8.2709 -7.7684 6.4453 -4.5064 3.7565 738.0 493.0 1.249 11.2 1.219 30 0.9776 16.76458 14.14172 8.47046 8.47046 8.97931
IN-coarse-anm-00136.dat -7.1208 6.8217 -7.9960 8.1832 -4.0489 4.2705 769.0 512.0 1.261 11.4 1.347 30 1.0143 18.24066 11.31746 7.66346 7.66346 8.47046
IN-coarse-anm-00147.dat -6.8625 7.7240 -4.7833 5.0277 -6.9573 7.7999 773.0 512.0 1.257 11.4 1.380 28 0.9890 16.95183 15.15904 6.68335 6.68335 7.95800
IN-coarse-anm-00116.dat -4.2617 3.6305 -8.9791 8.8658 -6.4867 6.6469 776.0 496.0 1.215 11.4 1.473 26 1.0058 18.96589 12.47411 6.12368 6.12368 8.47046
