Name                             IS_Rad        IS_x        IS_y        IS_z  Sphericity    Round DP  Round MaxC    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-01451.dat            6.02      -0.267       0.176        4.38       0.705       0.623       0.452       0.504       0.867       0.633        0.52       0.908
cement152-anm-01461.dat            5.58     -0.0141      0.0312       -2.23       0.788        0.74       0.465       0.535       0.912       0.659       0.599       0.956
cement152-anm-01479.dat            7.28       0.824        1.31        -2.8       0.721       0.673       0.462       0.746       0.981       0.822       0.806       0.991
cement152-anm-01497.dat             6.7        1.99      -0.219      0.0654       0.815       0.786       0.445       0.686       0.966       0.778        0.75       0.983
cement152-anm-01510.dat            5.43        -2.8        1.85        3.12       0.837       0.788       0.436       0.674       0.934       0.769       0.698       0.955
cement152-anm-01528.dat             5.5         1.1       0.612      -0.659       0.804       0.782       0.403       0.731       0.977       0.812       0.792       0.989
cement152-anm-01540.dat             3.5     -0.0691       0.366       -3.53       0.698        0.61       0.501       0.362        0.79       0.508       0.399       0.889
cement152-anm-01556.dat             4.3       0.276        0.55        -1.7       0.812        0.79       0.375       0.699       0.968       0.787       0.759       0.984
cement152-anm-01564.dat            8.94      -0.538       -2.85        1.75       0.783       0.739       0.496       0.609       0.935       0.718       0.664       0.964
cement152-anm-01575.dat            6.21      -0.432      -0.955       -2.26       0.788       0.739       0.462       0.519       0.909       0.646       0.591       0.959
cement152-anm-01587.dat            5.57        1.02       -6.61       0.875       0.726       0.644       0.547       0.365       0.798       0.511       0.415       0.904
cement152-anm-01602.dat            5.75       -3.37        0.22      -0.897       0.759       0.704       0.455       0.528         0.9       0.653       0.578       0.944
cement152-anm-01625.dat            4.47      -0.832       -3.32         4.7       0.735       0.661       0.494       0.367       0.804       0.513       0.424       0.914
cement152-anm-01641.dat            4.78       -3.55       0.703       -4.98       0.773       0.713       0.475       0.489       0.888       0.621       0.552       0.946
cement152-anm-01659.dat            5.55      0.0159      -0.377       0.439       0.802       0.771        0.44       0.612       0.946       0.721       0.681       0.974
cement152-anm-01670.dat            5.48        2.04      0.0628       -1.41       0.853       0.836        0.39         0.8       0.986       0.862       0.848       0.993
cement152-anm-01678.dat            4.92      -0.206       -2.89       -4.96       0.791       0.734       0.443       0.517       0.892       0.644       0.562       0.937
cement152-anm-01695.dat            6.84       0.133        3.16        2.78       0.796        0.74       0.511       0.483       0.886       0.616       0.546       0.945
cement152-anm-01707.dat             4.2        1.73        1.33       -1.31       0.746       0.694       0.394       0.543       0.914       0.666       0.605       0.956
cement152-anm-01720.dat             8.9      -0.098        1.38       0.181       0.766       0.741       0.448       0.629       0.953       0.734         0.7       0.979
cement152-anm-01738.dat            9.32        2.25       0.805        9.96       0.705       0.605        0.52       0.482       0.884       0.615       0.544       0.944
cement152-anm-01750.dat            8.47      -0.959        7.42       -2.24       0.791        0.76       0.484       0.689       0.968        0.78       0.753       0.984
cement152-anm-01766.dat            8.35        1.76        1.47       -2.01       0.838       0.818       0.456       0.646       0.956       0.747       0.714       0.979
cement152-anm-01779.dat            8.66      -0.195       -0.37      -0.802       0.859       0.836        0.46        0.66       0.956       0.758        0.72       0.977
cement152-anm-01790.dat            10.2        1.73      -0.328        1.94       0.755       0.708       0.479       0.581       0.918       0.696       0.625        0.95
cement152-anm-01802.dat            7.65        5.25        1.88        2.07       0.794       0.761       0.451       0.636       0.955        0.74       0.706       0.979
cement152-anm-01814.dat            5.21       -1.22      -0.595         2.2       0.786       0.744        0.44       0.546       0.923       0.668        0.62       0.966
cement152-anm-01833.dat            6.88       0.629       -0.32       0.236       0.865        0.85       0.412       0.834        0.98       0.886       0.864       0.988
cement152-anm-01843.dat             4.6        5.75       -1.53       0.976       0.731       0.649       0.564       0.322       0.763        0.47       0.382       0.907
cement152-anm-01856.dat            6.97        1.38     -0.0131        1.36       0.766       0.709        0.46       0.587       0.911       0.701       0.619       0.942
cement152-anm-01869.dat            5.32       0.939        1.49        3.19       0.807       0.764       0.468       0.446       0.869       0.584       0.518       0.946
cement152-anm-01886.dat            5.68       -4.05       -3.06       -3.27       0.705       0.622         0.5       0.314       0.755       0.462       0.375       0.906
cement152-anm-01899.dat            4.31       0.499        1.88       -2.52       0.769       0.718       0.439       0.527       0.907       0.653       0.589       0.953
cement152-anm-01911.dat            5.87     0.00442      -0.105        1.65       0.837       0.815       0.376       0.707       0.964       0.793       0.759        0.98
cement152-anm-01925.dat            7.13       0.697      -0.997        1.97       0.869       0.848       0.476       0.602       0.945       0.713       0.676       0.976
cement152-anm-01944.dat            4.23       -0.44        0.29        2.57       0.788       0.744       0.418       0.568       0.928       0.686       0.635       0.965
